
0	430	0	443
0	444	13	444
0	944	1	950
3	445	4	451
0	446	1	452
2	447	2	460
5	445	5	458
4	934	17	934
11	607	24	607
10	180	13	182
2	629	15	629
15	917	15	930
15	931	28	931
22	600	23	606
23	584	23	597
24	599	30	600
24	606	37	606
24	936	37	936
25	607	31	608
37	670	37	683
50	759	51	765
51	228	52	234
53	61	53	74
48	655	54	656
54	279	60	280
61	198	62	204
48	999	61	999
62	997	68	998
63	999	76	999
64	439	70	440
80	732	82	735
77	732	78	738
81	717	81	730
95	109	95	122
101	995	114	995
105	595	106	601
102	997	108	998
130	176	136	177
130	263	131	269
132	635	133	641
151	436	152	442
151	101	153	104
155	104	156	110
147	106	153	107
140	105	153	105
154	92	154	105
155	719	156	725
157	333	170	333
160	959	163	961
174	499	180	500
